Module,Task,Description,Target Implementation Files,Status,Assignee,Primary Controller
"Auth Controller","JWT authentication","Issue and validate JSON Web Tokens for login sessions (httpOnly cookie or header strategy); protect authenticated routes.","src/controllers/auth.controller.ts; src/routes/auth.route.ts; src/services/auth.service.ts; src/utils/token.util.ts; src/middlewares/authenticate.ts; src/config/env.config.ts (JWT secrets/expiry)","Implemented","Eyob","src/controllers/auth.controller.ts"
"Auth Controller","Argon2/Bcrypt password hashing","Hash passwords before persistence; verify on login (Argon2 or Bcrypt acceptable).","src/controllers/auth.controller.ts; src/services/auth.service.ts; src/utils/password.util.ts; src/seeds/index.ts (seed password hashing)","Implemented","Eyob","src/controllers/auth.controller.ts"
"Access Control (Middleware)","Strict RBAC (CITIZEN, HEW, ADMIN, RESEARCHER)","Enforce four roles end-to-end. Controller-level: route `authorize(...)` tuples per domain. Service-level: HEW district scoping in report queries and create flow; researcher limited to analytics-only views; citizen/public routes explicitly defined. Keep a single owner for `authorize.ts` to avoid cross-team conflicts.","src/middlewares/authorize.ts; src/middlewares/authenticate.ts; src/types/express.d.ts; src/routes/report.route.ts (Estif); src/routes/advisory.route.ts (Bereket); src/routes/alert.route.ts (Bereket); src/routes/user.route.ts; src/routes/disease.route.ts; src/routes/admin.route.ts; src/services/report.service.ts (Estif — HEW scoping); src/services/user.service.ts (if role-scoped user admin)","Not Implemented","Eyob","src/middlewares/authorize.ts"
"Report Controller","Morbidity/Mortality ingestion routes","HTTP API for HEW/Admin to submit case counts and death counts tied to district, disease, and report date.","src/controllers/report.controller.ts; src/routes/report.route.ts; src/services/report.service.ts","Implemented","Estif","src/controllers/report.controller.ts"
"Report Controller","BR-01 — PII stripping / anonymization","Reject or strip names, free-text identifiers, and other PII on ingest; persist only aggregated counts per district (ensure list/report outputs do not expose reporter PII). Coordinate schema edits with Prisma owner only.","src/controllers/report.controller.ts; src/routes/report.route.ts; src/services/report.service.ts; src/validations/report.validation.ts (create if absent); prisma/schema.prisma (Eyob only if schema changes)","Not Implemented","Estif","src/controllers/report.controller.ts"
"Report Controller","BR-05 — Offline sync priority (mortality before morbidity)","Batch/sync endpoint that persists mortality-first ordering for offline PWA payloads; keep controller thin by moving ordering/transaction logic into a sync service.","src/controllers/report.controller.ts; src/routes/report.route.ts; src/services/report.service.ts; src/services/report-sync.service.ts (new)","Not Implemented","Estif","src/controllers/report.controller.ts"
"Advisory Controller","Advisory queue — DRAFT review workflow","Authenticated endpoints to list/filter AI drafts (`AdvisoryStatus.DRAFT`), pagination, and review actions; avoid exposing full advisory feed publicly if it includes drafts.","src/controllers/advisory.controller.ts; src/routes/advisory.route.ts; src/services/advisory.service.ts","Not Implemented","Bereket","src/controllers/advisory.controller.ts"
"Alert Controller","BR-02 — APPROVED before broadcast","Block mass notification paths from using advisory content until status is `APPROVED`; validate linked advisory on alert approval/send; tighten `createAdvisory` bypass if policy forbids it. Single owner (Bereket) touches both advisory+alert controllers for broadcast gating.","src/controllers/alert.controller.ts; src/routes/alert.route.ts; src/services/alert.service.ts; src/controllers/advisory.controller.ts; src/services/advisory.service.ts","Not Implemented","Bereket","src/controllers/alert.controller.ts"
"AI Controller (new)","Z-Score / anomaly trigger on new report","After successful report persistence, asynchronously call the external Python/Flask anomaly service (Z-Score mode); non-blocking with retries/logging. Keep cross-service code in AI layer.","src/controllers/ai.controller.ts (new); src/routes/ai.route.ts (new); src/services/ai.service.ts (new); src/routes/index.ts (mount); src/config/env.config.ts (AI base URL, timeouts); src/services/report.service.ts (Estif — one-line call only)","Not Implemented","Eyob","src/controllers/ai.controller.ts (new)"
"AI Controller (new)","Receive NLP advisory drafts from Python","Internal/authenticated endpoint for the AI worker to POST multi-language drafts (Amharic, Afaan Oromoo, Tigrinya, Somali) to Node; persist as `DRAFT` advisories.","src/controllers/ai.controller.ts (new); src/routes/ai.route.ts (new); src/services/ai.service.ts (new); src/middlewares/authenticateInternal.ts (new); src/config/env.config.ts (service tokens)","Not Implemented","Eyob","src/controllers/ai.controller.ts (new)"
"Alert Controller","Email integration (Nodemailer / SendGrid)","SMTP/provider-backed transporter for bulk/transactional health alerts; configurable via environment.","src/controllers/alert.controller.ts; src/services/alert.service.ts; src/utils/EmailSender.ts; src/config/env.config.ts (SMTP/SendGrid vars); optionally refactor to src/utils/email.util.ts","Implemented","Bereket","src/controllers/alert.controller.ts"
"Alert Controller","BR-03 — Critical mortality threshold (>10% in 24h)","Detect rolling 24h windows where deaths/cases exceed 10%; create CRITICAL alert and notify admins. Estif owns report-side evaluation hook; Bereket owns alert creation + email; avoid both editing the same controller/service file.","src/controllers/alert.controller.ts (Bereket); src/services/alert.service.ts (Bereket); src/controllers/report.controller.ts (Estif hook); src/services/report.service.ts (Estif hook); src/utils/EmailSender.ts; prisma/schema.prisma (Eyob if new fields/models)","Not Implemented","Bereket","src/controllers/alert.controller.ts"
"Alert Controller","Delivery logging","Durable per-message success/failure log (beyond aggregate `Alert` counters), ideally as a Prisma model and/or structured logs with correlation IDs.","src/controllers/alert.controller.ts; src/services/alert.service.ts; src/utils/EmailSender.ts; prisma/schema.prisma (Eyob for `DeliveryLog` model); src/utils/logger.ts","Not Implemented","Bereket","src/controllers/alert.controller.ts"
"Analytics Controller (new)","Aggregation by date range, region, and disease","Analytics endpoints with filters (date range, region, disease/category) separated from ingestion. Keep reporting queries out of `report.controller.ts` where possible.","src/controllers/analytics.controller.ts (new); src/routes/analytics.route.ts (new); src/services/analytics.service.ts (new); src/routes/index.ts","Not Implemented","Estif","src/controllers/analytics.controller.ts (new)"
"Analytics Controller (new)","Export — PDF / Excel","Downloadable analytical reports that match aggregation filters (not only fixed weekly rollups).","src/controllers/analytics.controller.ts (new); src/routes/analytics.route.ts (new); src/services/analytics.service.ts (new); src/utils/export.util.ts (new); reuse patterns from src/services/report.service.ts (PDFKit/ExcelJS)","Not Implemented","Estif","src/controllers/analytics.controller.ts (new)"
"Prisma Schema","Enums — Role and AdvisoryStatus","Align Prisma enums with spec (or document intentional deviations). Single owner for schema to avoid merge conflicts.","prisma/schema.prisma; Prisma migrate; update generated enum imports across src/","Not Implemented","Eyob","prisma/schema.prisma"
"Prisma Schema","User model (spec fields)","Align `User` model with spec (UUID id, username, etc.) or document deviation and adjust services/controllers accordingly.","prisma/schema.prisma; src/services/auth.service.ts; src/services/user.service.ts; src/controllers/user.controller.ts; src/routes/user.route.ts","Not Implemented","Eyob","prisma/schema.prisma"
"Prisma Schema","DiseaseReport model (spec fields)","Align `DiseaseReport` model with spec (UUID id, diseaseType string, offline flag, etc.) or document normalized FK design and update code accordingly.","prisma/schema.prisma; src/services/report.service.ts; src/controllers/report.controller.ts; src/routes/report.route.ts","Not Implemented","Eyob","prisma/schema.prisma"
"Prisma Schema","Advisory model (spec fields)","Align `Advisory` model with spec or document deviation and update advisory APIs accordingly.","prisma/schema.prisma; src/services/advisory.service.ts; src/controllers/advisory.controller.ts; src/routes/advisory.route.ts","Not Implemented","Eyob","prisma/schema.prisma"
"Prisma Schema","Alert model (spec fields)","Align `Alert` model with spec or document deviation. (Current API mapping already exposes `targetZone`/`isDelivered` in `alert.service.ts`, but schema still deviates.)","prisma/schema.prisma; src/services/alert.service.ts; src/controllers/alert.controller.ts; src/routes/alert.route.ts","Not Implemented","Eyob","prisma/schema.prisma"
