Group,Priority,Module,Task,Description,Target Implementation Files,Status
"1 — Prisma Schema","1","Prisma Schema","Enums — Role and AdvisoryStatus","Rename `UserRole` to `Role` to match spec and align `AdvisoryStatus` to only `DRAFT, APPROVED, REJECTED` (remove `ARCHIVED` or document intentional extension). Run `prisma migrate` after. Update all generated client enum imports across `src/` — coordinate PRs with Estif and Bereket so they don't import stale types.","prisma/schema.prisma; prisma/migrations/; update generated enum imports in src/services/*.ts and src/routes/*.ts","Not Implemented"
"1 — Prisma Schema","2","Prisma Schema","User model (spec fields)","Align `User` shape to spec: UUID string `id` (currently Int), add `username` field (currently `fullName`+`email`), replace `regionId` FK with `region` String, replace `districtId` FK with `assignedDistrict` String?, add `clearanceLevel` Int?. After migration inform Estif (report.service.ts) and Bereket (advisory/alert services) so they update FK lookups.","prisma/schema.prisma; src/seeds/index.ts; src/services/auth.service.ts; src/services/user.service.ts; src/controllers/user.controller.ts; src/routes/user.route.ts","Not Implemented"
"1 — Prisma Schema","3","Prisma Schema","DiseaseReport model (spec fields)","Align `DiseaseReport` shape to spec: UUID string `id`, `diseaseType` String (currently FK `diseaseId`), `timestamp @default(now())` (currently `reportDate`), `district` String (currently FK `districtId`), `isOfflineCached` Boolean (currently `source` enum). Coordinate with Estif who owns all report.controller.ts / report.service.ts consumers.","prisma/schema.prisma; src/services/report.service.ts (Estif adapts); src/controllers/report.controller.ts (Estif adapts); src/routes/report.route.ts","Not Implemented"
"1 — Prisma Schema","4","Prisma Schema","Advisory model (spec fields)","Align `Advisory` shape to spec: UUID id, `diseaseType` String, `language` String (currently Language enum), `riskLevel` String (currently RiskLevel enum). Document if keeping typed enums is intentional. Coordinate with Bereket who owns advisory.controller.ts / advisory.service.ts.","prisma/schema.prisma; src/services/advisory.service.ts (Bereket adapts); src/controllers/advisory.controller.ts (Bereket adapts); src/routes/advisory.route.ts","Not Implemented"
"1 — Prisma Schema","5","Prisma Schema","Alert model (spec fields)","Align `Alert` shape to spec: UUID id, `targetZone` String (currently region/district FK relations), `severity` String (currently AlertSeverity enum), `channel` String (currently AlertChannel enum), `isDelivered` Boolean @default(false) (currently `sentAt` DateTime?). Note: `alert.service.ts` already maps these to spec terminology in API responses — decide whether to fully migrate schema or keep current approach. Coordinate with Bereket.","prisma/schema.prisma; src/services/alert.service.ts (Bereket adapts); src/controllers/alert.controller.ts (Bereket adapts); src/routes/alert.route.ts","Not Implemented"
"2 — Auth Controller","6","Auth Controller","JWT authentication","Issue and validate JSON Web Tokens for login sessions via httpOnly cookie; protect authenticated routes using `authenticate` middleware. Already working — verify token expiry config, refresh strategy (if needed), and that secrets are not hardcoded.","src/controllers/auth.controller.ts; src/routes/auth.route.ts; src/services/auth.service.ts; src/utils/token.util.ts; src/middlewares/authenticate.ts; src/config/env.config.ts (JWT secrets/expiry)","Implemented"
"2 — Auth Controller","7","Auth Controller","Argon2/Bcrypt password hashing","Hash all passwords before persistence using bcryptjs; verify hash on login. Already working — confirm seed file also hashes correctly and no plain-text password paths remain.","src/controllers/auth.controller.ts; src/services/auth.service.ts; src/utils/password.util.ts; src/seeds/index.ts","Implemented"
"3 — Access Control","8","Access Control (Middleware)","Strict RBAC (CITIZEN, HEW, ADMIN, RESEARCHER)","Own and enforce role policies in `authorize.ts` and `authenticate.ts`. Specific rules: CITIZEN = public/unauthenticated only; HEW = district-scoped reports only (Estif enforces in report.service.ts but Eyob defines the role tuple); ADMIN = all data, approvals, alerts; RESEARCHER = read-only analytics routes. Review all routes where `authorize()` is called — ensure no role escalation gaps. Coordinate per-domain route tuples with Estif (report) and Bereket (advisory/alert).","src/middlewares/authorize.ts; src/middlewares/authenticate.ts; src/types/express.d.ts; src/routes/user.route.ts; src/routes/disease.route.ts; src/routes/admin.route.ts; src/routes/report.route.ts (Estif owns file — agree on tuples only); src/routes/advisory.route.ts (Bereket owns file); src/routes/alert.route.ts (Bereket owns file)","Not Implemented"
"4 — AI Controller","9","AI Controller (new)","Z-Score / anomaly trigger on new report","Create `ai.service.ts` with an async function that POSTs aggregated case/death counts to the external Python/Flask Z-Score endpoint after a new report is persisted. Must be non-blocking (fire-and-forget with structured error logging). Expose `ai.controller.ts` and `ai.route.ts` for internal webhook ingress if needed. Add AI service base URL and timeout to `env.config.ts`. Estif will call only `AiService.triggerAnomalyDetection(reportId)` from `report.service.ts` — no direct edits to your files.","src/controllers/ai.controller.ts (new); src/routes/ai.route.ts (new); src/services/ai.service.ts (new); src/routes/index.ts (mount new route); src/config/env.config.ts (AI_BASE_URL, AI_TIMEOUT)","Not Implemented"
"4 — AI Controller","10","AI Controller (new)","Receive NLP advisory drafts from Python","Add a POST endpoint on `ai.route.ts` for the Python AI worker to push multi-language advisory drafts (Amharic, Afaan Oromoo, Tigrinya, Somali) back to Node.js. Persist each draft as an `Advisory` row with `status: DRAFT`. Protect with an internal API-key middleware (`authenticateInternal.ts`) — not JWT, as the caller is a machine. Add service token to `env.config.ts`.","src/controllers/ai.controller.ts (new); src/routes/ai.route.ts (new); src/services/ai.service.ts (new); src/middlewares/authenticateInternal.ts (new); src/config/env.config.ts (AI_SERVICE_TOKEN); src/routes/index.ts","Not Implemented"
